detection,reset_cadence,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_infection,mean_infection,final_infection,mean_tier3_poisoning,final_tier3_poisoning,mean_cache_corruption,contagion_writes
on,0,5,47,3015,3015,0.28701173281822656,0.0,2680.1304399599676,67.0032609989992,10,0,22.553836469410683,178.15521160012514,22.849836714988566,302.6096608029264,177.84048743428397,294.27920076471275,22.849836714988566,198.69007695792305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09100512495405591,0.0381950637907678,0.0002560875533055364,0.0893506676536675,0.07692307692307693,0.03821427035726571,31
on,0,6,48,3031,3031,0.28623177627936014,0.0,2735.383289582569,68.38458223956422,10,0,26.235979105369562,181.45963959295833,45.50672741029128,296.9371098028955,180.11415693361064,296.03118156883414,45.50672741029128,196.18677267439693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11902063268113075,0.052278643692011226,0.0009357716935544614,0.10974704407417588,0.1111111111111111,0.052348826569027805,38
on,0,7,49,3021,3021,0.28714244998505845,0.0,2703.605503240729,67.59013758101823,10,0,24.461926565903667,177.92097841473827,33.8213063238555,301.92238091243325,176.38934086146605,291.72484355672924,33.8213063238555,197.66379454900078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15168555174674186,0.07142341049943671,0.002808012186486329,0.11479026461688999,0.15789473684210525,0.07163401141342318,55
on,0,8,50,3005,3005,0.2874063269714779,0.0,2670.8601061599475,66.77150265399868,10,0,22.722356063527727,177.35520416362948,24.003212042271045,312.8965334051787,171.9435233242192,309.63101937381754,24.003212042271045,204.12833513744556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048182612233117636,0.014172547134644716,3.625950963333358e-05,0.10535790556336048,0.15217391304347827,0.014175266597867216,6
on,0,9,51,3005,3005,0.2861115299750533,0.0,2715.9588181675704,67.89897045418925,10,0,26.31761229904608,178.99131946984306,40.014454145173254,312.4562522421677,173.74734987858878,312.4562522421677,40.014454145173254,197.4791945197786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0013156132413583849,2.3497643443422993e-06,0.139168675197254,0.24528301886792453,0.0013157894736842105,0
on,2,0,42,2995,2995,0.2874173955083201,0.0,2706.2140101754426,67.65535025438606,10,0,26.99717676986585,176.35583700805498,40.91392123854557,310.53205725403535,168.85449410737553,295.1129057965926,40.91392123854557,207.20228920057917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.003124686086169623,4.18551773835972e-06,0.003125,0.0,0.003125,3
on,2,1,43,3003,3003,0.28626376248001656,0.0,2707.746108293318,67.69365270733294,10,0,25.741062008626862,177.80618454301376,39.93501408116498,315.99912945418606,173.71560160318822,291.62228346998046,39.93501408116498,202.10546912993135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04177327324910333,0.006068364570999884,0.005576058874254697,0.006486568986568986,0.0,0.006486568986568986,4
on,2,2,44,2986,2986,0.28673720043089485,0.0,2666.380990171666,66.65952475429165,10,0,23.332676181519446,172.34138622474038,33.09781473217184,292.82066979836213,169.53728081133497,292.19642803785644,33.09781473217184,190.44796730468292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02784384469317223,0.004772911968490641,0.00117598856827292,0.00486111111111111,0.0,0.00486111111111111,4
on,2,3,45,2988,2988,0.28717091931655875,0.0,2715.8167933144746,67.89541983286186,10,0,28.329023332778558,176.52179157267506,37.51071404298884,305.57712381649276,170.4501052115987,281.37710211540747,37.51071404298884,211.81473414938108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05715738932291666,0.012325624180458088,0.018991677593892177,0.013750000000000002,0.0,0.013750000000000002,13
on,2,4,46,3010,3010,0.2872258687195066,0.0,2739.827783412466,68.49569458531165,10,0,28.962875982719492,180.59167800771664,45.800502425634825,322.6853354361128,175.39434969730215,286.572572419834,45.800502425634825,210.58880352394235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024878299597537876,0.004353564339178953,3.3283558422037506e-05,0.004356060606060606,0.0,0.004356060606060606,3
on,2,5,47,3007,3007,0.28567363301865795,0.0,2705.943371714044,67.6485842928511,10,0,24.825687403354106,175.22060892331368,31.98628627401088,296.88923896455356,172.70680095523926,291.01931033427127,31.98628627401088,196.47984344670954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777773,0.0027777281156288313,6.621619859514401e-07,0.0027777777777777775,0.0,0.0027777777777777775,1
on,2,6,48,3025,3025,0.28573522838423265,0.0,2742.948441768502,68.57371104421256,10,0,27.126424757897002,181.33342828070414,36.6980697922228,306.6608978463917,178.26052701044742,306.6608978463917,36.6980697922228,200.20607655287122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0011393229166666667,0.007031250000000001,0.0016666666666666666,0.0,0.0016666666666666666,2
on,2,7,49,3007,3007,0.28623894345830386,0.0,2735.4210968738835,68.38552742184709,10,0,28.132973437467058,178.95991177275872,47.17419179001138,305.6090370503955,175.63141927676074,289.04586636486175,47.17419179001138,199.79527195607486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02627985260703347,0.004624736186092378,0.001973214488465271,0.006856060606060606,0.08333333333333333,0.006856060606060606,1
on,2,8,50,3022,3022,0.2867396223726206,0.0,2717.6152358988315,67.94038089747079,10,0,25.490448114671384,178.04283092703128,30.020302194951768,304.6094298387878,173.5861384295848,292.0014546431902,30.020302194951768,208.44486092733095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04571012769426618,0.010232927772300641,6.889954392796e-05,0.010238095238095237,0.0,0.010238095238095237,7
