mode,detection,write_pref,side_host_attention,side_teardown_policy,side_evasion_rate,run_index,seed,total_interactions,accepted_interactions,avg_toxicity,avg_quality_gap,total_welfare,welfare_per_epoch,n_agents,n_frozen,avg_reputation,avg_payoff,min_payoff,max_payoff,honest_avg_payoff,opportunistic_avg_payoff,deceptive_avg_payoff,adversarial_avg_payoff,separation_quality,infiltration_rate,welfare_delta,attack_displacement,pool_avg_quality_truthful,pool_avg_quality_fair,pool_avg_quality_default,pool_welfare_truthful,pool_welfare_fair,pool_welfare_default,peak_ungoverned,late_ungoverned,final_discovered,mean_side_corruption,final_infection,side_writes,side_poisoned_writes,side_teardowns,side_sweeps,side_swept_entries,late_substrate_gap,final_side_entries,final_evaders,final_side_value
deletion,0.05,0.7,,random,0.0,3,45,1880,1880,0.27724061327856864,0.0,1988.929806776774,49.72324516941935,10,0,41.909700199316845,161.826437851212,120.98919790981876,215.48609732002038,141.32714796738603,215.48609732002038,162.57769525071373,196.11884906853484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222222222222222,0.702580030338318,1.0,0.5196590909090909,0.26383128331138106,1104,603,0,30,1050,0.0,27,0.0,0.0
deletion,0.05,0.7,,random,0.0,4,46,1965,1965,0.278026737951418,0.0,2068.7187131291703,51.717967828229256,10,0,43.5064327390932,167.35703000087224,135.83711791907396,247.79008191646923,145.69378560004847,224.03559210032878,185.7786421300099,194.79667608904646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8611111111111112,0.7283547183364117,1.0,0.42868034055727555,0.21724197089493766,1042,543,0,27,954,0.0,53,0.0,0.0
deletion,0.05,0.7,,random,0.0,5,47,1931,1931,0.27645634505326583,0.0,2051.032064874164,51.2758016218541,10,0,43.28623720218124,167.41589856967008,134.4581049717962,219.42459850869076,151.27808505101112,212.4208825518426,167.974310405546,193.04764121662276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.7368214961238463,1.0,0.51625,0.24435390537478893,1096,578,0,34,1032,0.0,31,0.0,0.0
deletion,0.05,0.7,,random,0.0,6,48,2129,2129,0.28022911968421976,0.0,2218.9699045295556,55.47424761323889,10,0,46.47852660381041,174.36162814465774,131.55574145454477,262.7311542919085,147.21786762908968,215.3529664295133,214.08970411471242,215.43320256390683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8043478260869565,0.7125377946366188,1.0,0.40469696969696967,0.22696842332626543,864,475,0,29,798,0.0,39,0.0,0.0
deletion,0.05,0.7,,random,0.0,7,49,2091,2091,0.2842608211665305,0.0,2160.5884976036778,54.01471244009194,10,0,45.0967205177552,169.5223334596151,114.15855449257474,237.1212794698791,136.647603602003,223.6588994460098,185.16761979555162,233.25559687128583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.6936541642948966,1.0,0.550650934033287,0.27569918667432236,921,470,0,29,861,0.0,37,0.0,0.0
deletion,0.05,0.7,,random,0.0,8,50,2100,2100,0.27839126966796335,0.0,2209.9944877972866,55.24986219493216,10,0,46.470426111684844,176.68021931085406,132.35339103056262,260.3179937728167,148.61056043553165,254.0757749941991,201.76302468802052,209.6500154065656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.657670529999603,1.0,0.44628550543024226,0.22281930297035787,934,462,0,25,848,0.0,61,0.0,0.0
deletion,0.05,0.7,,random,0.0,9,51,2124,2124,0.27690606830270303,0.0,2247.173407076053,56.179335176901326,10,0,47.35215903164855,181.59179082412197,139.4310013309387,295.906199666535,165.50748488976689,195.185413052754,192.35038485239062,217.66860049873685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.7023689994269238,1.0,0.46927197802197806,0.26817129570496706,941,495,0,24,867,0.0,47,0.0,0.0
deletion,0.05,0.7,,random,0.5,0,42,1920,1920,0.2822756120740463,0.0,1995.8862863510628,49.89715715877657,10,0,41.761361363266516,162.46720155022672,129.43969499863445,257.41016914131524,139.613520372023,184.26712568657834,173.13632834660643,214.79371961847218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8604651162790697,0.7020318021601165,1.0,0.44485294117647056,0.2442075300456505,1063,543,0,27,1009,0.0,27,0.0,0.0
deletion,0.05,0.7,,random,0.5,1,43,2006,2006,0.27925714734239093,0.0,2105.0952879670604,52.62738219917651,10,0,44.2145672931488,168.36639140561084,127.53160669781823,254.4318165001191,142.65759550901066,235.9037979001156,184.64607397218606,203.58423456487142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8863636363636364,0.6902693598655175,1.0,0.4658333333333333,0.25691459322675464,981,511,0,26,908,0.0,36,0.0,0.0
deletion,0.05,0.7,,random,0.5,2,44,2057,2057,0.279093949223984,0.0,2158.2401135626087,53.95600283906522,10,0,45.32765039890022,171.02138004980299,134.20567072062923,273.19115797170593,147.57439907426692,227.87581673850062,162.08899498631564,217.40129716380594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7567567567567568,0.6664056376861255,1.0,0.5119444444444444,0.2626149289956666,923,497,0,26,869,0.0,28,0.0,0.0
